Calculus 8th Ed.,James Stewart
Calculus Early Trancendentals 8th Ed.,James Stewart
Linear Algebra and Its Applications 5th Ed.,David C. Lay
Introduction to the Practice of Statistics,Moore
Understanding Analysis 2nd Ed.,Paul Zorn
Math For Programmers,Paul Orland
SAS Programming for Elementary Statistics,Carla L. Goad
Contemporary Abstract Algebra 9th Ed.,Joseph Gallian
Clean Code,James O. Coplien
Computer Architecture: A Quantitative Approach,David Patterson
The C++ Programming Language 4th Ed.,Bjarne Stroustrup
Concurrency in Action 2nd Ed.,Anthony Williams
Competitive Programmer's Handbook,Antti Laaksonen
Serverless Architectures with Kubernetes ,Onur Yilmaz
Advanced Platform Development with Kubernetes,Craig Johnson
Beyond the Basic Stuff With Python,Al Sweigart
Building Web Apps with Spring 5 and Angular,Ajitesh Shukla
Hands-On for Azure Developers,Kamil Mrzyglod
Implementing Effective Code Reviews,Giuliana Carullo
Crime and Punishment (Penguin 2003),Fyodor Mikhailovich Dostoyevsky
Mastering Microservices with Java,Sourabh Sharma
Neural Networks from Scratch,Harrison Kinsley & Daniel Kukieła
C# 9 and .NET 5. Modern Cross-Platform Development 5th Ed.,Mark J. Price
Distributed Systems and Algorithmic Approach 2nd Ed.,Sukumar Ghosh
Effective SQL: 61 Specific Ways to Write SQL,John L. Viescas
Cloud Debugging and Profiling in Azure,Jefferey Chilberto
Play It as it Lays,Joan Didion
Foundations of Probabalistic Programming,Gilles Barth
Introduction to Computation Using Python,John V.Guttag
Head First Design Patterns 2nd Ed.,Eric Freeman & Elisabeth Robson
gRPC - Up and Running,Kasun Indrasiri & Danesh Kuruppu
Thinking Fast Thinking Slow,Daniel Kahneman
The Monk of Mokha,Davie Eggers
Fooled by Randomness: The Hidden Role of Chance in Life and Markets,Nicholas Nassim Taleb
The History of Money,Jack Weatherford
Barbarians at the Gate,Bryan Burrough
Broke Millennial Talks Money,Erin Lowry
"Dark Towers: Deutche Bank, Donald Trump, and an Epic Trail of Destruction",David Enrich
Freakonomics,Steven Levitt and Steven Dubner
Learn Algorithmic Trading,Sebastien Donadio
Modern Principles of Economics 3rd Ed.,Tyler Cowen & Alex Tabarrok
Principles Life and Work,Ray Dalio
Superforecasting The Art and Science of Prediction,Phillip Tetlock
The Intelligent Investor,Benjamin Graham
Capital in the 21st Century,Thomas Piketty
Security Analysis 6th Ed.,Benjamin Graham
Catching The Wolf of Wall Street,Jordan Belfort
The Wolf of Wall Street,Jordan Belfort
Blink ,Malcolm Gladwell
The Social Leap,William Von Hippel
The Blank Slate: The Modern Denial of Human Nature,Steven Pinker
Homo Deus: A Brief History of Tomorrow,Yuval Noah Harari
Enlightenment Now,Steven Pinker
Everything is Fucked,Mark Manson
The Subtle Art of Not Giving a Fuck,Mark Manson
Surrounded By Psychopaths,Thomas Erikson
Rich Dad Poor Dad,Robert T. Kiyosaki
You Are A Badass Every Day,Jen Sicero
You Are A Badass At Making Money,Jen Sicero
The 7 Habits of Highly Effective People,R. Steven Covey
Permanent Record,Edward Snowden
Can't Hurt Me,David Goggins
Surely You're Joking Mr. Feynman,Richard Feynman
Fear and Loathing At Rolling Stone,Hunter S. Thompson
Anne Frank Diary of a Young Girl,Anne Frank
Behind the Mask: My Autobiography,Tyson Fury
Born a Crime,Trevor Noah
Shoe Dog ,Phil Knight 
Steve Jobs,Walter Isaacson
1984,George Orwell
Ready Player One,Ernest Cline
Ready Player Two,Ernest Cline
Fear and Loathing in Las Vegas,Hunter S. Thompson
On the Road,Jack Kerouac
The Vanishing Half,Brit Bennet
The Sympathizer,Viet Thanh Nguyen
Animal Farm ,George Orwell
Super Sad True Love Story,Gary Shteyngart
Turtles All The Way Down,John Green
Infinite Jest,David Foster
Looking For Alaska,John Green
Fault in Our Stars,John Green
Catch 22,Joseph Heller
The Count of Monte Cristo,Alexandre Dumas
"Don Quixote (Penguin, 2003)",Miguel de Cervantes
Dracula,Bram Stoker
Moby Dick,Herman Melville
Of Mice and Men,John Steinbeck
One Flew Over the Cuckoo's Nest,Ken Kessey
The Complete Mark Twain Collection,Mark Twain
The Grapes of Wrath,John Steinbeck
To Kill a Mockingbird,Harper Lee
Anna Karenina,Leo Tolstoy
War and Peace ,Leo Tolstoy
In Cold Blood,Truman Capote
Dune,Frank Herbert
Messiah,Frank Herbert
Children of Dune,Frank Herbert
God Emperor of Dune,Frank Herbert
Heretics of Dune,Frank Herbert
Chapter House Dune,Frank Herbert
"Ann Veronica , A Modern Love Story",H.G Wells
Tales of Space and Time,H.G Wells
The Country of The Blind,H.G Wells
The Door in The Wall and Other Stories,H.G Wells
The First Men in the Moon,H.G Wells
The Invisible Man,H.G Wells
The Island of Doctor Monreau,H.G Wells
The Time Machine,H.G Wells
The War of the Worlds,H.G Wells
Twelve Stories and A Dream,H.G Wells
Bluebeard ,Kurt Vonnegut
Breakfast of Champions,Kurt Vonnegut
Cat's Cradle,Kurt Vonnegut
God Bless You Mr Rosewater,Kurt Vonnegut
Jailbird,Kurt Vonnegut
Player Piano,Kurt Vonnegut
Sirens of Titan,Kurt Vonnegut
Slaughterhouse Five,Kurt Vonnegut
Harry Potter and The Sorceror's Stone,J.K Rowling
Harry Potter and The Chamber of Secrets,J.K Rowling
Harry Potter and The Prisoner of Azkaben,J.K Rowling
Harry Potter and The Goblet of Fire,J.K Rowling
Harry Potter and The Order of the Phoenix,J.K Rowling
Harry Potter and The Half Blood Prince,J.K Rowling
Harry Potter and The Deathly Hallows,J.K Rowling
The Magician's Nephew,C.S Lewis
"The Lion, Witch, and The Wardrobe",C.S Lewis
The Horse and His Boy,C.S Lewis
Prince Caspian,C.S Lewis
The Voyage of The Dawn Treader,C.S Lewis
The Silver Chair,C.S Lewis
The Last Battle,C.S Lewis
The Gene: An Intimate History,Siddhartha Mukherjee
The Silmarillion Illustrated,J.R.R Tolkien
The Hobbit (Enhanced Edition),J.R.R Tolkien
Bilbo's Last Song,J.R.R Tolkien
Tales From the Perilous Realm,J.R.R Tolkien
The Legend of Sigurd and Gudrun,J.R.R Tolkien
Unfinished Tales,J.R.R Tolkien
Game of Thrones: A Clash of Kings,George R.R Martin
Game of Thrones: A Dance With Dragons,George R.R Martin
Game of Thrones: A Feast for Crows,George R.R Martin
Game of Thrones: A Game of Thrones,George R.R Martin
Game of Thrones: A Storm of Swords,George R.R Martin
Carrie,Stephen King
The Shining,Stephen King
Cujo,Stephen King
The Running Man,Stephen King
Pet Semetary,Stephen King
Needful Things,Stephen King
It,Stephen King
The Stand,Stephen King
Doctor Sleep,Stephen King
"De Anima (Oxford, 1993)",Aristotle
Eudemian Ethics (Oxford 1992),Aristotle
Nicomachean Ethics (Cambrige 2000),Aristotle
Politics (Oxford 1995),Aristotle
Lyrical and Critical Essays,Albert Camus
Geometry of Rene Descartes (Dover 1954),Rene Descartes
Meditations on First Philosophy (Cambridge 1996),Rene Descartes
Philosophical Writings (Modern Library 1958),Rene Descartes
The World and Other Writings (Cambridge 1998),Rene Descartes
Meditations,Marcus Aurelius
Beyond Good and Evil,Friedrich Nietzsche
The Art of War ,Sun Tzu
Iliad and Odyssey translated by Chapman,Homer
Iliad translated by Fagles (Penguin 1990),Homer
Iliad translated by Rieu (Penguin 2003),Homer
Odyssey translated by Fagles (Penguin 1996),Homer
Odyssey translated by Rieu (Penguin 1996),Homer
"Armstrong, J (ed.) - Arden Dictionary of tions (Arden, 1997)",William Shakespeare
Complete Sonnets and Poems (Oxford 2002),William Shakespeare
Hamlet (Cambridge 2003),William Shakespeare
Henry IV Part 1 (Modern Library 2009),William Shakespeare
Henry IV Part 2 (Modern Library 2009),William Shakespeare
Henry V (Signet 1988),William Shakespeare
"King Lear (Cambridge, 2005)",William Shakespeare
"Macbeth (Cambridge, 1997)",William Shakespeare
"Measure for Measure (Cambridge, 2006)",William Shakespeare
"Midsummer Night's Dream, A (Cambridge, 2003)",William Shakespeare
"Much Ado About Nothing (Cambridge, 2003)",William Shakespeare
"Othello (Cambridge, 2003)",William Shakespeare
"Richard II (Oxford, 2011)",William Shakespeare
"Romeo and Juliet (Cambridge, 2003)",William Shakespeare
"Taming of the Shrew (Cambridge, 2003)",William Shakespeare
"Tempest (Signet, 1987)",William Shakespeare
"Timon of Athens (Oxford, 2004)",William Shakespeare
"Twelfth Night (Cambridge, 2004)",William Shakespeare
"Winter's Tale (Modern Library, 2009).",William Shakespeare
The Trial (Penguin 1994),Franz Kafka
Complete Works - Plato,John M. Cooper & D. S. Hutchinson
The Plague (Vintage 1991),Albert Camus
A Brief History of Time,Stephen Hawking
On The Origin of Species (Penguin 2009),Charles Darwin
Heart of Darkness,Joseph Conrad
Jane Eyre,Charlotte Bronte
A Portrait of the Artist as a Young Man,James Joyce
"Ulysses (Penguin, 2000)",James Joyce
On Writing: A Memoir of The Craft,Stephen King
The Man Who Solved the Market,Gregory Zuckerman
Factfulness,Hans Rosling
Letters from an Astrophysicist,Neil deGrasse Tyson
Sapiens: A Brief History of Humankind,Yuval Noah Harari
Getting Started With Unity,Patrick Felicia
D Cookbook,Adam D. Ruppe
Internet of Things Programming w/ JavaScript,Ruben Oliva Ramos
Alexander Hamilton,Ron Chernow
Grant,Ron Chernow
The Martian Chronicles,Ray Bradbury
American Gods,Niel Gaiman
World War Z,Max Brooks
"Armageddon In Retrospect (Putnams, 2008)",Kurt Vonnegut
"Galapagos (Random House, 1985)",Kurt Vonnegut
"Deadeye Dick (Random House, 1982)",Kurt Vonnegut
"God Bless You, Dr. Kevorkian (Seven Stories, 2010)",Kurt Vonnegut
"Look at the Birdie (Random House, 2009)",Kurt Vonnegut
"A Man without a Country, A (Seven Stories, 2005)",Kurt Vonnegut
"Palm Sunday (Random House, 1981)",Kurt Vonnegut
"Slapstick (Random House, 2004)",Kurt Vonnegut
"Welcome to the Monkey House (Random House, 1968)",Kurt Vonnegut
"While Mortals Sleep (Random House, 2011)",Kurt Vonnegut
Beowulf translated by J.R.R Tolkien,unknown
"Alice's Adventures in Wonderland (Penguin, 1998)",Lewis Caroll
Fahrenheit 451,Ray Bradbury
The Great Gatsby,F. Scott Fitzgerald
Complete Poems and Plays (Faber 1996),T.S Elliot
As I Lay Dying ,William Faulkner
Annotated Waste Land (Yale 2005),T.S Elliot
Sancturay (Vintage 1993),William Faulkner
Sound and Fury (Vintage 1990),William Faulkner
"Torrents of Spring (HarperPerennial, 2012)",Ernest Hemingway
"Old Man and the Sea (Scribner, 2002)",Ernest Hemingway
Gone With the Wind,Margaret Mitchell
"Never Let Me Go (Knopf, 2005)",Kazuo Ishiguro
"Buried Giant (Knopf, 2015)",Kazuo Ishiguro
Juneteenth,Ralph Ellison
"Frankenstein (Barnes & Noble, 2003)",Mary Shelley
"Pygmalion & Three Other Plays (Barnes & Noble, 2004)",George Bernard Shaw
"The Game of Logic (Macmillan, 1886)",Lewis Caroll
"In the Shadow of Young Girls in Flower (Yale, 2015)",Marcel Proust
"Intelligent Woman's Guide to Socialism and Capitalism (Brentano's, 1928)",George Bernard Shaw
The Catcher in The Rye,J.D Salinger
The Canterbury Tales: A Retelling by Peter Ackroyd,Geoffrey Chaucer
The Last of The Mohicans,James Fenimore Cooper
To The Lighthouse,Virginia Woolf
Uncle Tom's Cabin,Harriet Beecher Stowe
American Buffalo,David Mamet
The Warrior Within: The Philosophies of Bruce Lee,John Little and Linda Lee Caldwell
Caste The Origins of Our Discontents,Isabel Wilkerson
Mythos A Retelling of the Myths of Anciet Greece,Stephen Fry
The Queen's Gambit,Walter Tevis
Metamorphoses ,Ovid
The Three Musketeers,Alexandre Dumas
Twenty Years After,Alexandre Dumas
Ten Years Later,Alexandre Dumas
Louise de la Valliere,Alexandre Dumas
Man in the Iron Mask.,Alexandre Dumas
Chatter,Ethan Kross
Dark Territory The Secret History of Cyber War,Fred Kaplan
"David and Goliath: Underdogs, Misfits",Malcolm Gladwell
Outliers,Malcolm Gladwell
Talking to Strangers,Malcolm Gladwell
Why We Sleep Unlocking the Power of Sleep and Dreams,Dr. Matthew W. Walker
Wizard The Life and Times of Nikola Tesla,Marc J. Seifer
Drug Use for Grown Ups,Dr. Carl L. Hart
Atomic Habits,James Clear
The Guest List,Lucy Foley
Geek Love,Katherine Dunn
Where the Crawdads Sing,Delia Owens
The Old Drift,Namwali Serpell
Is This Anything?,Jerry Seinfeld
Deacon King Kong,James McBride
"Guns, Germs and Steel",Jared Diamond
"Night (Bantam, 1986)",Elie Wiesel
"Night (Hill & Wang, 2006)",Elie Wiesel
Lolita,Vladimir Nabokov
The Immortal Life of Henrietta Lacks,Rebecca Skloot
"Steppenwolf (Bantam, 1969)",Hermann Hesse
"Siddhartha (Modern Library, 2006)",Hermann Hesse
A Tale of Two Cities,Charles Dickens
And Then There Were None,Agatha Christie
Less,Andrew Sean Greer
The Girl with the Dragon Tattoo,Stieg Larsson
The Girl Who Played with Fire,Stieg Larsson
The Girl Who Kicked the Hornet's Nest,Stieg Larsson
The Handmaid's Tale,Margaret Atwood & Valerie Martin
Twenty Thousand Leagues Under the Sea,Jules Verne
A Clockwork Orange,Anthony Burgess
"I, Robot",Isaac Asimov
Hyperion,Dan Simmons
The Hitchhiker's Guide to the Galaxy,Douglas Adams
The Restaurant at the End of The Universe,Douglas Adams
"Life, the Universe and Everything",Douglas Adams
"So Long, and Thanks for All the fish",Douglas Adams
Mostly Harmless,Douglas Adams
Hacking Darwin,Jamie Metzl
"On the Road: The Original Scroll (Viking, 2007)",Jack Kerouac
Gaza in Crisis: Reflections on Israel's War Against the Palestinians,Noam Chomsky
Master of Mankind,Noam Chomsky
Culture of Terrorism,Noam Chomsky
The Science of Language: Interviews with James McGilvray,Noam Chomsky
Nuclear War,Noam Chomsky
On Anarchism,Noam Chomsky
On Nature and Language (Cambridge University Press 2002),Noam Chomsky
Profit Over People:  Neoliberalism and Global Order,Noam Chomsky
Rogue States - The Rule of Force in World Affairs,Noam Chomsky
A Confederacy of Dunces,John Kennedy Toole
A Death in The Family ,James Agee
Confessions of Nat Turner,William Styron
The Road,Cormac McCarthy
Empire Falls,Richard Russo
Foreign Affairs ,Alison Lurie
Tales from The South Pacific,James A Michener
The Color Purple,Alice Walker
The Optimist's Daughter,Eudora Welty
The Reivers ,William Faulkner
Tinkers,Paul Harding
"Absolute Friends (Penguin, 2018)",John Le Carré
"Agent Running in the Field (Penguin, 2019)",John Le Carré
"A Legacy of Spies (Penguin, 2017)",John Le Carré
"The Little Drummer Girl (Penguin, 2018)",John Le Carré
"A Most Wanted Man (Scribner, 2014)",John Le Carré
"The Naive and Sentimental Lover (Penguin, 2011)",John Le Carré
"Not One More Death (Verso, 2006)",John Le Carré
"Our Kind of Traitor (Viking, 2010)",John Le Carré
"A Perfect Spy (Penguin, 2011)",John Le Carré
"The Tailor of Panama (Ballantine, 2008)",John Le Carré
"Tinker, Tailor, Soldier, Spy (Penguin, 2011)",John Le Carré
1963-00 Amazing Spider-Man Fantasy 15,Stan Lee and Steve Ditko
1963-01 Amazing Spider-Man v1 001,Stan Lee and Steve Ditko
1963-02 Amazing Spider-Man v1 002,Stan Lee and Steve Ditko
1963-03 Amazing Spider-Man v1 003,Stan Lee and Steve Ditko
1963-04 Amazing Spider-Man v1 004,Stan Lee and Steve Ditko
1963-05 Amazing Spider-Man v1 005,Stan Lee and Steve Ditko
1963-06 Amazing Spider-Man v1 006,Stan Lee and Steve Ditko
1963-07 Amazing Spider-Man v1 007,Stan Lee and Steve Ditko
Salvadore,Joan Didion
"Dubliners (Vintage, 2012)",James Joyce
"In Search of Lost Time: The Complete Masterpiece (Modern Library, 2003)",Marcel Proust
Complete Works,Jane Austen
Great Expectations (Penguin 2010),Charles Dickens
"Madame Bovary [trans. Davis] (Penguin, 2010)",Gustave Flaubert
Too Much and Never Enough,Mary L. Trump
"Metamorphosis & Other Stories (Penguin, 2007)",Franz Kafka
